Locatiecode;Zone;Soort locatie;Diepte;Breedte;Vrije hoogte;Max belasting (kg)
01-01-1;STELLING A;Picklocatie;30;40;22;12
01-01-2;STELLING A;Picklocatie;30;40;22;12
01-01-3;STELLING A;Picklocatie;30;40;22;12
01-01-4;STELLING A;Picklocatie;;;;
01-02-1;STELLING A;Picklocatie;30;40;22;12
01-02-2;STELLING A;Picklocatie;30;40;22;12
01-02-3;STELLING A;Picklocatie;;;;
01-02-4;STELLING A;Picklocatie;30;40;22;12
01-03-1;STELLING A;Picklocatie;;;;
01-03-2;STELLING A;Picklocatie;30;40;22;12
01-03-3;STELLING A;Picklocatie;;;;
01-03-4;STELLING A;Picklocatie;;;;
01-04-1;STELLING A;Picklocatie;30;40;22;12
01-04-2;STELLING A;Picklocatie;30;40;22;12
01-04-3;STELLING A;Picklocatie;30;40;22;12
01-04-4;STELLING A;Picklocatie;30;40;22;12
01-05-1;STELLING A;Picklocatie;30;40;22;12
01-05-2;STELLING A;Picklocatie;30;40;22;12
01-05-3;STELLING A;Picklocatie;30;40;22;12
01-05-4;STELLING A;Picklocatie;30;40;22;12
01-06-1;STELLING A;Picklocatie;30;40;22;12
01-06-2;STELLING A;Picklocatie;;;;
01-06-3;STELLING A;Picklocatie;30;40;22;12
01-06-4;STELLING A;Picklocatie;30;40;22;12
01-07-1;STELLING A;Picklocatie;30;40;22;12
01-07-2;STELLING A;Picklocatie;;;;
01-07-3;STELLING A;Picklocatie;30;40;22;12
01-07-4;STELLING A;Picklocatie;30;40;22;12
01-08-1;STELLING A;Picklocatie;30;40;22;12
01-08-2;STELLING A;Picklocatie;30;40;22;12
01-08-3;STELLING A;Picklocatie;30;40;22;12
01-08-4;STELLING A;Picklocatie;30;40;22;12
01-09-1;STELLING A;Picklocatie;30;40;22;12
01-09-2;STELLING A;Picklocatie;;;;
01-09-3;STELLING A;Picklocatie;;;;
01-09-4;STELLING A;Picklocatie;30;40;22;12
01-10-1;STELLING A;Picklocatie;30;40;22;12
01-10-2;STELLING A;Picklocatie;30;40;22;12
01-10-3;STELLING A;Picklocatie;30;40;22;12
01-10-4;STELLING A;Picklocatie;30;40;22;12
01-11-1;STELLING A;Picklocatie;30;40;22;12
01-11-2;STELLING A;Picklocatie;30;40;22;12
01-11-3;STELLING A;Picklocatie;30;40;22;12
01-11-4;STELLING A;Picklocatie;30;40;22;12
01-12-1;STELLING A;Picklocatie;30;40;22;12
01-12-2;STELLING A;Picklocatie;30;40;22;12
